      --------Part 1---------   --------Part 2---------
Day       Time    Rank  Score       Time    Rank  Score
 25   00:35:39    3635      0   00:35:56    2812      0
 24   01:42:39    5276      0   17:51:17    8493      0
 23   00:08:27     865      0   00:22:11     856      0
 22   02:12:07    5933      0   02:58:57    4785      0
 21   03:09:10    2713      0   03:10:58    1299      0
 20   01:05:18    3471      0   16:35:42   14169      0
 19   23:43:37   23655      0       >24h   21110      0
 18   16:27:45   21531      0   16:38:14   20774      0
 17       >24h   25518      0       >24h   15882      0
 16   23:04:31   23193      0       >24h   18186      0
 15   02:23:59    7813      0   04:57:34    6354      0
 14   19:55:05   31473      0       >24h   28842      0
 13       >24h   37920      0       >24h   33230      0
 12       >24h   41426      0       >24h   31399      0
 11   10:56:14   36142      0   11:43:11   26864      0
 10   17:15:30   39370      0   17:18:25   38276      0
  9   18:05:24   44907      0   19:09:46   34735      0
  8   02:04:32   10578      0   02:10:02    9521      0
  7   19:05:07   48370      0   20:18:00   46125      0
  6   00:44:58    8247      0       >24h   52724      0
  5   12:24:43   53214      0   12:55:15   44092      0
  4   16:36:59   71098      0   17:29:51   65496      0
  3   14:57:43   85098      0   15:03:40   73340      0
  2       >24h  130766      0       >24h  103521      0
  1   01:03:08   10386      0   01:05:42    9633      0
